CICO,SM1_DZ,GATS1i,NdsCH,NdssC,MLOGP,LC50_target
4566,357,1394,4,1,3903,6923
2377,1278,974,0,0,4658,5372
2118,956,2539,0,0,-406,3845
2523,0.56,1602,1,1,52,4384
3361,223,1342,0,0,2129,5485
3.7,223,1556,0,1,3358,3971
2818,0.83,1386,0,0,2899,3920
3465,0,802,0,0,3958,4984
3003,134,1032,0,0,2152,4171
4268,916,1.19,0,2,1936,7849
3.26,405,921,0,0,2782,4578
3426,0.85,1792,0,0,2.59,4377
3888,693,978,0,2,4633,6600
3477,693,1344,0,2,2577,4116
4.05,693,1381,0,2,3618,5490
4.05,693,1381,0,2,3618,5367
3557,331,1301,2,1,2209,4711
4073,693,1171,0,2,4091,5224
2744,496,753,0,0,3018,4284
3252,134,875,0,0,2859,5292
2815,0.56,1585,0,2,0.43,2758
2031,854,2591,0,0,-816,2689
3265,496,962,0,1,3055,4732
2085,1079,895,0,0,4063,4890
2351,1586,1.25,0,4,3659,6416
2822,811,1524,0,0,-2089,600
3315,916,1753,0,2,-439,2501
1417,898,648,0,0,2042,4421
2118,934,913,1,0,2956,4988
1925,1.16,801,0,0,3314,4499
2536,429,871,0,1,1237,2537
2.43,496,946,0,0,2241,3568
1822,829,834,0,0,2509,3731
2125,638,831,0,0,1348,2939
3098,0.93,1075,0,0,2702,6236
3.26,811,702,0,0,4412,6298
2982,496,1151,0,1,1783,3522
2019,1126,793,0,0,3314,4730
2508,0.58,941,0,0,1701,3789
3461,223,1.12,0,0,2813,4672
2233,0.64,0.92,1,0,2.37,4750
2477,405,876,1,0,1667,4725
3394,0,868,0,0,3677,4199
2937,499,0.8,0,0,3945,4849
3012,223,0.76,0,0,2637,4538
3315,223,799,0,0,3127,4507
2.11,1.15,0.72,1,0,3157,5518
4278,405,1345,0,0,3546,4668
3179,0,805,0,0,3386,4322
2834,134,1009,0,0,2066,3448
2448,638,1121,0,0,1701,2904
3921,134,1789,0,0,2502,3861
3532,134,1518,0,0,2813,3959
3585,331,1491,0,0,2224,3530
3086,948,751,0,0,3586,5107
3465,0,837,0,0,3876,4809
3315,223,799,0,0,3127,4440
1855,1179,1.44,0,0,1587,2838
2866,223,1288,2,0,1335,3411
2137,223,1179,0,0,655,3288
3036,405,1205,0,1,2351,4247
3111,405,1.05,0,2,1756,5169
2677,331,1582,0,1,586,2895
1962,1345,783,0,0,3617,5348
2442,934,984,0,1,2991,4208
3171,134,1011,0,0,2186,3984
2982,496,1151,0,1,1783,3665
3874,638,1352,4,1,2575,4561
2.43,496,0.83,1,0,1132,4628
2435,1113,1109,0,1,2354,2839
3247,874,1221,0,1,2659,4262
2928,1113,1185,0,1,2927,4141
3235,1131,996,0,0,2723,5354
3177,629,871,0,0,3315,3365
2495,0.56,835,1,0,1099,4023
2233,0.57,883,0,0,1501,3325
3179,0,1063,0,0,2942,3811
2728,223,953,0,0,1859,3897
2.62,499,0.99,0,0,3.21,4230
2126,0.83,899,0,0,3478,4194
2216,582,839,0,0,2127,4353
2.62,288,839,0,0,3045,3753
2834,134,0.95,0,0,1859,3120
2086,0.64,838,0,0,2127,3995
3407,0,1111,0,0,3259,4192
3012,223,1023,0,0,2193,3920
2477,0.83,983,0,0,3795,4540
2477,0.83,983,0,0,3795,4743
2.08,891,816,0,0,2729,4332
2888,251,944,0,0,1246,1935
2.08,891,816,0,0,2729,4989
2126,1278,896,0,0,4634,5815
1925,1.16,801,0,0,3314,5192
3.69,223,883,0,0,3887,6644
3814,331,1225,0,1,3345,3698
2888,405,1472,1,2,1522,5105
2824,223,1051,0,0,1533,4050
1855,1067,1244,0,0,1587,3487
2802,223,1.6,1,0,1064,3937
1.92,1079,1738,0,0,2604,3408
2802,223,1.6,0,1,1064,1748
2435,331,1532,0,1,586,2014
3611,331,2017,0,0,1393,2859
2215,887,888,0,0,1395,4084
3.16,1028,809,0,0,3842,5939
3.26,405,1151,1,0,2.11,3835
1965,405,1169,1,0,-145,3660
1783,629,0.75,1,0,736,3460
2348,762,0.85,0,0,2621,3769
3461,223,1.12,0,0,2813,4463
3407,0,1111,0,0,3259,4279
2824,223,1,0,1,2102,2870
2233,0.64,0.92,0,1,2102,3615
2.08,496,858,0,0,1887,3022
2434,1.17,996,1,0,1391,3575
2765,331,951,0,1,1.49,2550
2.43,496,946,0,0,2241,3660
2252,1075,885,0,0,2005,5303
2508,0.58,941,0,0,1701,3242
2508,0.58,941,0,0,1701,3345
2251,638,871,1,0,1.61,4416
2094,827,0.86,0,0,1886,4239
3739,0,1.25,2,2,3267,4638
3332,134,1519,0,0,2.51,3415
2.43,496,946,0,0,2241,3441
2815,0.56,1585,1,1,0.43,4590
1.5,405,1669,0,1,-386,2661
3126,693,1.69,2,2,1024,4282
3.86,223,1429,0,0,2502,3919
1814,1316,1074,0,1,1119,3350
3.69,1159,1295,0,2,4449,5749
4211,932,1045,0,1,4832,8916
2.16,1.16,1607,0,0,1.94,3130
4327,0.56,1254,2,5,3399,6683
3057,1636,995,0,2,4452,8433
3401,732,1185,0,1,2791,3529
2086,1501,766,0,0,3909,6093
3.08,223,1462,2,0,1442,2494
3.41,134,1722,0,0,-1174,3017
3101,1535,1326,0,1,1655,6238
3599,702,1514,2,1,3247,6183
2986,961,1669,0,4,1798,3152
2804,1.11,618,0,6,1317,6254
3.67,728,2.11,0,3,2288,2964
3475,405,875,1,2,3148,4803
2801,728,2226,0,2,736,3109
3652,872,867,2,3,3983,4040
3763,916,878,0,6,2918,4818
2831,1393,1077,0,1,906,5317
4057,1032,1183,1,3,4754,8201
